№,ИНН,Наименование организации,Полное наименование организации,Сайт,Индустрия
171,7703708336,"ООО ""РУСМОДА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСМОДА""",www.rusmoda.ru,Текстильная промышленность
179,7734592593,"АО ""СНИИП""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПРИБОРОСТРОЕНИЯ""",www.sniip.ru,Электротехническая промышленность
269,7703152232,"ООО ""ИОКОГАВА ЭЛЕКТРИК СНГ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИОКОГАВА ЭЛЕКТРИК СНГ""",www.yokogawa.ru,Электротехническая промышленность
283,7710277994,"АО ""РОСЭЛЕКТРОНИКА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКАЯ ЭЛЕКТРОНИКА""",www.ruselectronics.ru,Электротехническая промышленность
284,7719046624,"ОАО ""СТАРТ""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СТАРТ""",www.startkid.ru,Текстильная промышленность
314,7725646490,"АО ""ПО СПЕЦТЕХНИКА ПОЖАРОТУШЕНИЯ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СПЕЦТЕХНИКА ПОЖАРОТУШЕНИЯ""",спецтехникапожаротушения.рф,Машиностроение
327,7714006804,"ООО ""ЗНАК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗНАК""",www.znak.ru,Целлюлозно-бумажная промышленность
355,7711012133,"ЗАО ""СОЮЗ-ЛЕС""","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОЮЗ-ЛЕС""",www.souzles.ru,Лёгкая промышленность
373,7735501334,"ООО ""ЗЗВО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАДСКИЙ ЗАВОД ВЕНТИЛЯЦИОННОГО ОБОРУДОВАНИЯ""",www.zzvo.ru,Лёгкая промышленность
406,7751002460,"АО ""ГНЦ РФ ТРИНИТИ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННЫЙ НАУЧНЫЙ ЦЕНТР РОССИЙСКОЙ ФЕДЕРАЦИИ ТРОИЦКИЙ ИНСТИТУТ ИННОВАЦИОННЫХ И ТЕРМОЯДЕРНЫХ ИССЛЕДОВАНИЙ""",www.triniti.ru,Электротехническая промышленность
408,7735574607,"АО ""НИИ СУБМИКРОН""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ""СУБМИКРОН""",www.submicron.ru,Электротехническая промышленность
413,7721247141,"АО ""ВНИИАЭС""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПО ЭКСПЛУАТАЦИИ АТОМНЫХ ЭЛЕКТРОСТАНЦИЙ""",www.vniiaes.ru,Энергетическая промышленность
416,7726682003,"АО ""КРАСНАЯ ЗВЕЗДА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНАЯ ЗВЕЗДА""",www.redstaratom.ru,Энергетическая промышленность
433,7724643714,"АО ""ТЕТИС ПРО""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕТИС ПРО""",www.tetis-pro.ru,Электротехническая промышленность
503,9717064981,"ООО ""ХИМКО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХИМКО""",www.ximko.ru,Электротехническая промышленность
511,7720081285,"ООО ""ДИАГНОСТИКА-М""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАГНОСТИКА-М""",www.tsnk.ru,Электротехническая промышленность
567,7712005393,"ООО ""МОСКОВСКОЕ УПП №7""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКОЕ УЧЕБНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ № 7""",www.upp7vos.ru,Электротехническая промышленность
626,7701190578,"ООО ""В. И. П. АРТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""В. И. П. АРТ""",www.vip-liga.ru,Лёгкая промышленность
666,7704661049,"ООО ""НПЦ ""СПЕКТР-АТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР АНТИТЕРРОРИСТИЧЕСКОЙ И КРИМИНАЛИСТИЧЕСКОЙ ТЕХНИКИ ""СПЕКТР-АТ""",www.spektr-at.ru,Электротехническая промышленность
712,7732121990,"АО ""ВИДЕОФОН МВ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИДЕОФОН МВ""",www.videofonmv.ru,Электротехническая промышленность
768,7723819154,"ООО ""РПК ЗЕТАПРИНТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РПК ""ЗЕТАПРИНТ""",zetaprint.ru,Целлюлозно-бумажная промышленность
791,7735111750,"ООО ""ВЕСТА-ФИЛЬТР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСТА-ФИЛЬТР""",www.vestafiltr.ru,Лёгкая промышленность
840,7708025358,"ФКУ ""НПО ""СТИС МВД РОССИИ""","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СПЕЦИАЛЬНАЯ ТЕХНИКА И СВЯЗЬ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ",стис.мвд.рф,Электротехническая промышленность
841,7722001535,"АО ""ВНИИ НП""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПО ПЕРЕРАБОТКЕ НЕФТИ""",www.vniinp.ru ,Топливная промышленность
842,7706056030,"ООО ""ФИРМА ВИРТУ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ""ВИРТУ""",www.virtu.ru,Деревообрабатывающая 
847,7717027922,"ООО ""РОБОКОН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""РОБОКОН""",www.robocon.ru,Электротехническая промышленность
910,7707121161,"ООО ""ЮВЕЛИРНЫЙ ЗАВОД СААВ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮВЕЛИРНЫЙ ЗАВОД ""СААВ""",www.saav.ru,Лёгкая промышленность
942,7704457325,"ООО ""НПО ""ВИВАТОН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ВИВАТОН""""",www.vivaton.ru,Медицинская промышленность
953,7722002169,"АО ""ЗАВОД МЕТАЛЛОИЗДЕЛИЙ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАВОД МЕТАЛЛОИЗДЕЛИЙ""",www.tor-invest.ru,Машиностроение
1006,7736314697,"ООО ""ЯРАША""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯРАША""",yarussia.com,Текстильная промышленность
1028,7711086470,"ООО ""ПКЦ СПЕЦТЕХСБЫТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПКЦ СПЕЦТЕХСБЫТ""",www.sts-med.ru,Медицинская промышленность
1048,7706408919,"ООО ""СОФИЙСКАЯ НАБЕРЕЖНАЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОФИЙСКАЯ НАБЕРЕЖНАЯ""",www.sofija.ru,Лёгкая промышленность
1077,7735590623,"ООО ""ЗЗСМ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАДСКИЙ ЗАВОД СВАРОЧНЫХ МАТЕРИАЛОВ""",zelzsm.ru,Металлообработка
1094,7735108356,"ООО ""ГИДРАС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГИДРАС""",гидрас.рф,Металлообработка
1111,7709477413,"ООО ""МАНУФАКТУРА ЖУРАВЛЕВЫХ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАНУФАКТУРА ЖУРАВЛЕВЫХ""",zhfactory.ru,Пищевая промышленность
1193,7735539634,"ООО ""НПО ""ТЕКОН-АВТОМАТИКА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ТЕКОН-АВТОМАТИКА""",www.tekon.ru,Электротехническая промышленность
1209,7709426183,"ООО ""ТЕКНОЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕКНОЛ""",www.teknol.ru,Электротехническая промышленность
1390,7735122128,"ООО ""ЗЕЛЕНОГРАД МЕБЕЛЬ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕЛЕНОГРАД МЕБЕЛЬ""",www.zelmeb.ru ,Деревообрабатывающая 
1392,7726315116,"ООО ""СВЕТ МАРИЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВЕТ МАРИЯ""",www.svetmariya.ru,Текстильная промышленность
1408,7717525332,"ООО ""ЛЕОНАРДА-СЕРВИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕОНАРДА-СЕРВИС""",леонарда.рф,Медицинская промышленность
1509,7702663322,"ООО ""ТЕХПРОМПАК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХПРОМПАК""",www.tehprompak.ru,Электротехническая промышленность
1512,9729239450,"ООО ""КСОДИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КСОДИ""",ксоди.рф,Лёгкая промышленность
1530,7705703647,"ООО ""НПК ЦЕНТРОБЕЖНЫЕ СИСТЕМЫ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПК ЦЕНТРОБЕЖНЫЕ СИСТЕМЫ""",www.strojburservis.ru,Электротехническая промышленность
1588,7715766195,"ООО ""ПЕВКА-МЕБЕЛЬ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕВКА-МЕБЕЛЬ""",певка.рф,Деревообрабатывающая 
1591,9715276268,"ООО ""НОВАСТИЛЬ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАСТИЛЬ""",www.twins-and-me.ru,Текстильная промышленность
1596,7717673404,"ООО ""ПК СТАРЛИН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИГРАФИЧЕСКИЙ КОМПЛЕКС СТАРЛИН""",www.starlin.ru,Целлюлозно-бумажная промышленность
1618,5046005770,"АО ""ТРОИЦКАЯ КАМВОЛЬНАЯ ФАБРИКА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРОИЦКАЯ КАМВОЛЬНАЯ ФАБРИКА""",www.troitskwool.com,Текстильная промышленность
1631,7733808881,"ООО ""АКАНТ-ДЕКОР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКАНТ-ДЕКОР""",акант-декор.рф,Лёгкая промышленность
1679,7720765849,"ООО ""ПКМИ ФОНДА П. И. ЧАЙКОВСКОГО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННЫЙ КОМБИНАТ МУЗЫКАЛЬНЫХ ИНСТРУМЕНТОВ ФОНДА П.И. ЧАЙКОВСКОГО""",пкми.рф,Лёгкая промышленность
1702,7722842111,"ООО ""ЗМК МОСИНТЕРМЕТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗМК МОСИНТЕРМЕТ""",zmkmsk.ru,Металлообработка
1751,7719500950,"ООО ""НПП ""ВОЛСОН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВОЛСОН""",www.volson.ru,Электротехническая промышленность
1753,5074018185,"ООО ""СТРОЙЦИРК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙЦИРК""",www.scircus.ru,Электротехническая промышленность
1951,9718085871,"ООО ""ЗНАКЪ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗНАКЪ""",znak.ltd,Целлюлозно-бумажная промышленность
2002,7707254500,"ООО ""ПНП СИГНУР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПНП СИГНУР""",www.signur.ru,Электротехническая промышленность
2017,7716758180,"ООО ""ЗАГЕДОКТОР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАГЕДОКТОР""",www.sagedoktor.ru,Металлообработка
2181,7714276007,"ООО ""СЮРТЕЛЬ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЮРТЕЛЬ""",www.suritel.ru,Электротехническая промышленность
2328,7721573924,"ООО ""ПК ХАММЕР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ХАММЕР""",www.xammer-luki.ru,Металлообработка
2334,7705206701,"ООО ""СЭНДЭС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЭНДЭС""",www.sendes.ru,Целлюлозно-бумажная промышленность
2394,7701892954,"ООО ""МОБИЛЬНОЕ ВЫСТАВОЧНОЕ ОБОРУДОВАНИЕ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОБИЛЬНОЕ ВЫСТАВОЧНОЕ ОБОРУДОВАНИЕ""",zharcvet.ru,Электротехническая промышленность
2471,7743838194,"ООО ""ТПК МЕБЕЛЬНАЯ КОМПАНИЯ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТПК МЕБЕЛЬНАЯ КОМПАНИЯ""",тпкмк.рф,Деревообрабатывающая 
2505,7721589804,"ООО ""МОДЕРОН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОДЕРОН""",zaschitka.ru,Металлообработка
2879,7729711848,"ООО ""КОМПРЕССОРТЕХ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПРЕССОРНЫЕ ТЕХНОЛОГИИ""",спецсталь.рф,Металлообработка
2938,7709446006,"ООО ЧАСОВАЯ КОМПАНИЯ ""РОМАНОФФ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСОВАЯ КОМПАНИЯ ""РОМАНОФФ""",www.romanoff.ru,Лёгкая промышленность
2943,7708619320,"ПАО ""ОАК""","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ АВИАСТРОИТЕЛЬНАЯ КОРПОРАЦИЯ""",www.uacrussia.ru,Авиационно-космическая промышленность
2945,7719193996,"ООО ""ТСЗП""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИЧЕСКИЕ СИСТЕМЫ ЗАЩИТНЫХ ПОКРЫТИЙ""",www.tspc.ru,Металлообработка
2953,7726534774,"АО ""НПП ""ВОЛНА""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ВОЛНА""",www.volna.ru,Металлообработка
2957,7719247218,"АО ""НПФ ""ТЕХНОЯКС""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ТЕХНОЯКС""",www.tehnojaks.ru,Машиностроение
3130,7716691739,"ООО ""3Д ПРЕСС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""3Д ПРЕСС""",картон-упаковка.рф,Целлюлозно-бумажная промышленность
