№,ИНН,Наименование организации,Полное наименование организации,Сайт,Индустрия,Даты,Телефоны,Текст,Документы
567,7712005393,"ООО ""МОСКОВСКОЕ УПП №7""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКОЕ УЧЕБНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ № 7""",www.upp7vos.ru,Электротехническая промышленность,,8-499-158-96-85 8-499-158-17-17, главная продукция сертификаты техподдержка портфолио базы для dialux новости наши партнеры наши потребности неликвиды вакансии контакты обратная связь  г москва факультетский пер д  телефон     факс     эл почта sales uppvos ru attractive russian brides from moscow московское учебно производственное предприятие  завод был основан в  году как универсальный комплекс учреждений обеспечивающих возможность проживания реабилитации и трудоустройства людей у которых имелись проблемы со зрением в настоящее время наше предприятие занимается разработкой внедрением и производством светильников отвечающих современным требованиям по энергосбережению безопасности и качеству сборка светильников происходит в цехах оборудованных современными станками и специалистами высокого уровня наша цель обеспечить выпуск качественных светотехнических изделий для освещения общественных и промышленных помещений наша продукция имеет гарантированное качество соответствует европейским стандартам комплектуется электроустановочными изделиями ведущих отечественных и западных производителей  с-битрикс: управление сайтом,
626,7701190578,"ООО ""В. И. П. АРТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""В. И. П. АРТ""",www.vip-liga.ru,Лёгкая промышленность,,, дизайн печать сувенирная продукция меню главнаяполиграфияпакетынанесение логотипаширокоформатная печатьрекламные магнитыдизайн и вёрсткатаблички и шильдыплаткиновостиконтакты каталог ручки карандаши посуда брелоки инструменты рулетки мемо холдеры визитницы подарочные наборы зажигалки антистрессы часы электроника настольные приборы и предметы сувениры для дома текстильная продукция бейджи фонари футляры для cd аксессуары для вина и курения компьютеры и интернет зонты сумки и портфели игры изделия для записей папки путешествиe и отдых флэш накопители открывалки календари ежедневники новый год подарки для мужчин подарки для женщин эко сувениры бумажные пакеты под нанесение логотипа новинки текстильные маски portobello поиск расширенный поиск новинки футболка женская t bolka lady чёрная   руб футболка женская t bolka lady зеленое яблоко   руб футболка женская t bolka lady ярко зеленая   руб вход логин пароль запомнить меня забыли пароль забыли логин регистрация сортировка название цена дата популярность количество        кружка foggy матовая белая код     руб купить подробнее сп dart basic polished  код    руб купить подробнее  challenger frosted код    руб купить подробнее брелок рулетка  м код     руб купить подробнее брелок рулетка  м код     руб купить подробнее кружка на  мл код     руб купить подробнее набор термос на  мл  кружки на  мл в дорожной сумке с термоизоляцией код     руб купить подробнее мультиинструмент уровень фонарик набор отверток код     руб купить подробнее визитница код    руб купить подробнее жидкостная фигура для релаксации спираль прозрачная голубая код    руб купить подробнее ручка шариковая лабиринт с головоломкой код    руб купить подробнее мячик антистресс код    руб купить подробнее в началоназадвперёдв конец copyright maxxmarketing webdesigner gmbh  ,
666,7704661049,"ООО ""НПЦ ""СПЕКТР-АТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР АНТИТЕРРОРИСТИЧЕСКОЙ И КРИМИНАЛИСТИЧЕСКОЙ ТЕХНИКИ ""СПЕКТР-АТ""",www.spektr-at.ru,Электротехническая промышленность,27.5.2022 22.2.2022 29.12.2021 20.12.2021 11.9.2021 31.8.2021 25.3.2021 23.10.2020 19.10.2020 9.7.2020 30.8.2022 1.1.2022,8-495-644-23-20 8-495-644-23-20, научно производственный центр антитеррористической и криминалистической техники      market spektr at ru главная о компании новости каталог публикации обзоры сми сми о нас документация сертификаты лицензии патенты проспекты тендеры на застройку контакты обнаружение снайперской оптики оптико электронный прибор спин  подробнеетепловизионная техника самый маленький носимый тепловизор катран см подробнеетепловизионная техника носимая тепловизионая камера катран б подробнеетепловизионная техника носимая тепловизионая камера катран  подробнееновейшая разработка нпц спектр ат оптико электронный прибор спин  подробнееновейшая разработка нпц спектр ат тепловизионный безокулярный прицел ирбис подробнеекриминалистическая техника прибор для проверки документов корунд мтв  подробнееновейшая разработка нпц спектр ат быстроразвертываемый мобильный комплект охранного наблюдения спектр с подробнее новости компании    с днем пограничника уважаемые сотрудники пограничной службы хранители покоя нашего государства поздравляем вас с    c днем защитника отечества уважаемые коллеги друзья искренне поздравляем всех с настоящим мужским праздником днем    с новым годом в наступающем году хочется пожелать вам всего самого хорошего финансовой стабильности приятных    c днем работника органов безопасности    c днем сотрудника органов внутренних дел российской федерации уважаемые хранители правопорядка примите самые искренние и горячие поздравления с днем полиции    спектр ат принял участие в форуме армия  с  по  августа  года мероприятия форума проходили в конгрессно выставочном центре    с днем росгвардии в день национальной гвардии россии желаем войскам стойкости духа и полной самоотдачи пусть ваши    c днем подразделений специального назначения в этот знаменательный день мы поздравляем вас отважные и доблестные защитники россии нет ни    об участии в выставке интерполитех  уважаемые друзья коллектив нпц спектр ат в связи с ухудшением ситуации с пандемией covid  принял    нпц спектр ат принял участие в международном форуме армия  нпц спектр ат принял участие в международном форуме армия  на нашем стенде посетители имели более  лет спекр ат занимает лидирующие позиции в производстве антитеррористического оборудования более  патентов у компании спектр ат все оборудование сертифицировано и прошло все проверки тепловизионный безокулярный прицел ирбис подробнее носимая тепловизионная камера катран см подробнее носимая тепловизионная камера катран б подробнее оптико электронный прибор антисвид  подробнее прибор для обнаружения скрытых телевизионных систем наблюдения гранат  подробнее оптико электронный прибор спин  подробнее досмотровая телевизионная система поиск тв подробнее комплекс видеонаблюдения мираж дтв подробнее досмотровая телевизионная система поиск тв  подробнее прибор для светооптической проверки документов генетика  подробнее портативный ультрафиолетовый осветитель дозор сд подробнее портативный ультрафиолетовый осветитель дозор км подробнее комплект аналитических тестов для идентификации взрывчатых веществ вв каспер подробнее комплект аналитических тестов для идентификации наркотических веществ нарко каспер подробнее подробности просмотров  печать e mail научно производственный центр антитеррористической и криминальной техники спектр ат создан  сентября  года на основе специализированного подразделения научно исследовательского института интроскопии нииин мнпо спектр основной задачей центра является качественное осуществление научно исследовательской деятельности проведение фундаментально поисковых и опытно конструкторских работ выпуск новой техники оптимальным образом удовлетворяющей требованиям заказчиков главным направлением работ центра которое в рамках преемственности существует и развивается более  лет но несколько перефразировано в соответствии с требованием времени является проведение исследований разработка и создание на основе методов интроскопии технических средств предназначенных для решения антитеррористических поисково досмотровых и криминалистических задач к настоящему времени в центре сложилась четкая направленность исследований а накопленный опыт и научно технический задел подготовленные высококвалифицированные кадры перспективные технологии и оборудование позволяют создавать современные антитеррористические технические средства и занимать на рынке аппаратурных средств борьбы с террором одно из лидирующих положений наши координаты ооо нпц спектр ат телефоны      адрес г москва ул угрешская д  стр  почтовый адрес  г москва ул усачева д  стр  ооо нпц спектр ат а я  проезд станция метро кожуховская от выхода идти по южнопортовой улице в сторону ттк справа войти в проходную бц iq park от мцк дубровка выход  идти в сторону южнопортовой улицы перейти перекресток южнопортовой и угрешской после перекрестка войти в проходную бц iq park режим работы пн пт   до   выставки и конференции нпц спектр ат принимает участие в международном военно техническов форуме армия    августа г место проведения конгрессно выставочный центр патриот московская область одинцовский район приглашаем вас посетить наш стенд в павильоне с номер стенда е  для застройщиков тз на дизайн стенда находится здесь подпишись на новости preview close email prev next preview reset подписаться  научно-производственный центр антитеррористической и криминальной техники «спектр-ат»,
712,7732121990,"АО ""ВИДЕОФОН МВ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИДЕОФОН МВ""",www.videofonmv.ru,Электротехническая промышленность,,,,
768,7723819154,"ООО ""РПК ЗЕТАПРИНТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РПК ""ЗЕТАПРИНТ""",zetaprint.ru,Целлюлозно-бумажная промышленность,4.4.2022 7.6.2022 4.4.2022 3.2.2022 4.4.2022 3.2.2022 4.4.2022 5.4.2022 5.3.2022 2.1.2022 5.3.2022 7.5.2022 3.1.2022 4.4.2022 2.1.2022,8-495-775-2338 8-495-775-2338, пн пт     вход zetaprint все печатают здесь все печатают здесь     e mail info zetaprint ru волгоградский проспект  корпус  о компании новости компании портфолио клиенты вакансии благодарности документы продукция z card буклеты брошюры бланки бланки фирменные блокноты визитки визитки премиум воблеры дорхенгеры календари карманные календари настенные календари квартальные календари настольные каталоги конверты книги листовки открытки пакеты плакаты папки оборудование допечатное печатное постпечатное сделать заказ контакты доставка книги  шт формат а х мм книжный бумага глянец  г м² цветность   обложка  г м² переплет бц срок изготовления   дней брошюры  шт формат а хмм кол во полос  бумага глянцевая  г м² цветность   срок изготовления   дня буклеты  шт формат х мм бумага глянцевая  г м² цветность   количество фальцев  срок изготовления   дня каталоги  шт формат а х мм кол во полос  цветность   обложка бумага глянцевая  г м² блок бумага глянцевая  г м² срок изготовления   дней папки  шт формат а х мм бумага картон  г м² цветность   офсетный лак срок изготовления   дней плакаты  шт формат а х мм бумага глянцевая  г м² цветность   срок изготовления   дня бланки  шт формат a х мм бумага офсетная  г м² цветность   срок изготовления   дней календари квартальные  шт формат мини х мм топ и  рекламное поле цветность   бумага матовая  г м² блоки готовые бумага мелованная  г м² срок изготовления   дней конверты  шт формат с х мм бумага офсетная  г м² цветность   запечатка внутри серая срок изготовления   дня листовки  шт формат а х мм бумага глянцевая  г м² цветность   срок изготовления   дня полиграфическая продукция z card книги каталоги брошюры буклеты блокноты календари настенные календари квартальные пакеты дорхенгеры конверты воблеры открытки папки бланки календари карманные бланки фирменные плакаты визитки премиум визитки календари настольные листовки оборудование допечатное печатное постпечатное новости новости компании что печатаем портфолио клиенты о компании услуги оборудование портфолио контакты офис продаж  россия москва волгоградский проспект  корпус  схема проезда график работы пн пт с  до  ч сб вс выходной   zetaprint огрн      info zetaprint ru мы в соцсетях  типография zetaprint предлагает полиграфические услуги в москве. мы печатаем оперативно и качественно любую полиграфию,
791,7735111750,"ООО ""ВЕСТА-ФИЛЬТР""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСТА-ФИЛЬТР""",www.vestafiltr.ru,Лёгкая промышленность,,,,
840,7708025358,"ФКУ ""НПО ""СТИС МВД РОССИИ""","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СПЕЦИАЛЬНАЯ ТЕХНИКА И СВЯЗЬ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ",стис.мвд.рф,Электротехническая промышленность,,,,
841,7722001535,"АО ""ВНИИ НП""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ПО ПЕРЕРАБОТКЕ НЕФТИ""",www.vniinp.ru ,Топливная промышленность,,,,
842,7706056030,"ООО ""ФИРМА ВИРТУ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ""ВИРТУ""",www.virtu.ru,Деревообрабатывающая ,,8-499-951-03-09,у вас отключен javascripttemporaryкраткосрочные картонные posmpermanentдолгосрочные posm и торговое оборудованиеluxuryэксклюзивные решения для люксовых брендовserviceинсталляционные услуги и сервисо компаниипроизводственные мощностиновостиработа у насконтактыruenвыделяембрендымы создаем преимуществадля ваших брендовв местах продаж  золотых  серебряныхи  бронзовых наградконкурсаpopai russia awards  grand prix конкурсаpopai russia awards первая российская компания обладатель призов конкурсовв лас вегасе и париже посмотретьвидеопрезентациюмы помогаем всемирно известным брендам в решении их задач в точках продаж и занимаем в россии лидирующие позиции в отраслиболее  лет virtu предоставляет полный спектр услуг разработка производство сервисное обслуживание в области posm и эксклюзивной торговой мебели мы предлагаем нашим клиентам креативные и эффективные решения премиального уровня с использованием инновационных технологий и широкого спектра материалов новости компанииvirtu партнёр ecovadis  мая недавно мы успешно прошли аудит и стали партнёром компании ecovadis крупнейшего в мире и наиболее надёжного поставщика рейтингов устойчивости бизнеса virtu на неделе российского ритейла   мая   июня  года мы примем участие в международном форуме бизнеса и власти неделя российского ритейла  мы присоединились к telegram  мая мы создали аккаунт virtu в мессенджере telegram мы переехали в новый офис  мая между майскими праздниками наша компания переехала в новый просторный офис  москва варшавское шоссе д  корп  бизнес центр технопарк навигатор  этаж      virtu разработка сoalla agency ,
847,7717027922,"ООО ""РОБОКОН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""РОБОКОН""",www.robocon.ru,Электротехническая промышленность,,,"  инженерно-производственная фирма робокон - 
    разработка и изготовление контрольно-измерительного оборудования любой
    степени автоматизации",
910,7707121161,"ООО ""ЮВЕЛИРНЫЙ ЗАВОД СААВ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮВЕЛИРНЫЙ ЗАВОД ""СААВ""",www.saav.ru,Лёгкая промышленность,,,,
